pfam_id,pfam_aka
PF01015,Ribosomal S3Ae family
PF07400,Interleukin 11
PF12144,Eukaryotic Mediator 12 catenin-binding domain
PF10306,Hypothetical protein FLILHELTA
PF15836,SSTK-interacting protein, TSSK6-activating co-chaperone protein
PF10161,Putative mitochondrial precursor protein
PF03530,Calcium-activated SK potassium channel
PF01229,Glycosyl hydrolases family 39
PF18597,Myosin X N-terminal SH3 domain
PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain)
PF15386,Drosophila Tantalus-like
PF05781,MRVI1 protein
PF03398,Regulator of Vps4 activity in the MVB pathway
PF06293,Lipopolysaccharide kinase (Kdo/WaaP) family
PF09064,Thrombomodulin like fifth domain, EGF-like
PF02558,Ketopantoate reductase PanE/ApbA
PF02008,CXXC zinc finger domain
PF04398,Protein of unknown function, DUF538
PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF19722,Sentrin-specific protease 3/5 N-terminal
PF00749,tRNA synthetases class I (E and Q), catalytic domain
PF06702,Golgi casein kinase, C-terminal, Fam20
PF13500,AAA domain
PF15228,Death-associated protein
PF02768,DNA polymerase III beta subunit, C-terminal domain
PF05778,Apolipoprotein CIII (Apo-CIII)
PF03935,Beta-glucan synthesis-associated protein SKN1/KRE6/Sbg1
PF17856,TIP49 AAA-lid domain
PF01316,Arginine repressor, DNA binding domain
PF13225,Beta-carotene isomerase D27-like, C-terminal
PF05703,Auxin canalisation
PF02590,Predicted SPOUT methyltransferase
PF01612,3'-5' exonuclease
PF00462,Glutaredoxin
PF14728,PTHB1 C-terminus
PF07714,Protein tyrosine and serine/threonine kinase
PF01851,Proteasome/cyclosome repeat
PF12720,Protein of unknown function (DUF3807)
PF05420,Cellulose synthase operon protein C C-terminus (BCSC_C)
PF12400,STIMATE family
PF05097,Protein of unknown function (DUF688)
PF09731,Mitochondrial inner membrane protein
PF00112,Papain family cysteine protease
PF13328,HD domain
PF16500,Cyclin-A N-terminal APC/C binding region
PF04116,Fatty acid hydroxylase
PF05498,Rapid ALkalinization Factor (RALF)
PF11710,G protein-coupled glucose receptor regulating Gpa2
