Ligando,Afinidad
z-2-hexenol,-4.312
Benzothiazol,-4.343
eugenol-M.musculus-,-5.346
Menthone,-5.008
hexylacetate,-3.813
Α-terpineol,-5.198
DEET,-5.286
2-decanone,-4.416
Isobutylacetate,-4.394
2-pentanone,-3.601
1-octen-3-ol,-4.426
2-dodecanone,-4.321
Trans-anethol,-5.171
3-octanol,-5.15
Butanal,-3.023
3-nonanone,-4.426
methylbutyrate,-4.102
piperonylacetone,-5.455
2-sec-butyl-3-methoxypyrazine,-4.224
Pyrazine,-3.255
geranylacetate,-4.815
2-methylpyrazine,-3.789
butyricacid,-4.27
4-octanol,-4.757
2-heptanone,-4.508
ethylhexanoate,-3.846
methylnonanoate,-4.341
Menthol,-5.337
methyldecanoate,-4.645
isoamylacetate,-3.787
Pentanal,-3.656
methyloctanoate,-4.116
methylheptanoate,-5.058
E-2-hexenylacetate,-4.333
hexanoicacid,-4.14
2-octanol,-3.983
Thymol,-5.036
1-pentanol,-3.942
Limonene,-5.378
Eucalypton,-5.606
dimethyldisulﬁde,-1.858
Acetaldehyde,-2.34
Helional-phenobarbital-,-6.284
decanoicacid,-4.498
butylacetate,-3.523
3-methylbutanol,-3.832
2-nonanone,-5.484
Ethyl-vanillin,-4.716
1-hexanol,-4.34
1-heptanol,-4.626
Cinnamaldehyde,-5.35
Heptanal,-3.915
Vanillin,-4.468
1-dodecanol,-4.4
butylanthralite,-4.956
ethyloctanoate,-3.967
Nonanal,-4.578
heptanoicacid,-4.911
Citral,-4.639
3-hydroxybutan-2-one,-3.825
2-pentanol,-3.395
Cineol,-5.297
Acetophenone,-5.514
Allyl-ionoe,-6.189
isovalericacid,-4.37
ethylisobutyrate,-3.893
Cyclohexanone,-4.264
2-ethyl1-hexanol,-4.945
methylp-tert-butylphenylacetate,-5.231
1-nonanol,-5.482
Dodecanal,-4.391
ethylanthralite,-5.027
Trans-cinnamicacid,-5.433
Diacetyl-C.elegans-,-3.527
dodecanoicacid,-4.396
ethylnonanoate,-4.474
ethylpropionate,-3.878
-Citronellal,-4.572
Hedione,-5.1
octanoicacid,-4.233
ethyl-trans-2-butenoate,-4.494
Picaridin,-4.8
Thiazole,-2.752
Hexanal,-4.246
1-octanol,-3.929
pentylacetate,-4.455
Gvaiacol,-4.4
2-nonanlol,-3.967
Citralva,-4.731
propylacetate,-3.292
6-methyl-5-hepten-2-one,-4.24
+Citronellal,-4.496
2-isobutyl-3-methoxypyrazine,-4.518
Linalool,-5.826
Cumarin,-5.588
2-isobutyl3-methoxypyrazine,-4.204
nonanoicacid,-4.58
ethyldecanoate,-4.574
Alpha-thujone,-5.271
isobutyricacid,-4.259
Anisol,-4.812
ethylchrysanthemate,-4.988
butylbutyrate,-4.922
"methylN,N,-dimethylanthranilite",-4.608
diethylsuccinate,-3.876
Quinolin,-5.457
Octanal,-4.183
Phenylmethanol,-4.469
Geraniol,-4.846
3-octanone,-4.525
ethylheptanoate,-4.234
ethylbutyrate,-3.821
methylsalicylate,-4.903
Decanal,-4.195
Lyral,-5.431
propionicacid,-3.639
3-methyl-2-buten-1-ol,-3.64
Gamma-decalactone,-5.01
1-decanol,-4.492
Para-anisaldehyde,-4.577
Camphor,-4.813
Indole,-5.01
ethyl-3-hydroxybutyrate,-3.543
2-octanone,-5.026
Beta-thujone,-4.943
Γ-hexalactone,-4.488
Benzaldehyde,-5.318
Maltol,-4.359
Undecanal,-4.472
1-butanol,-3.91
Pyridine,-3.312
methylhexanoate,-4.583
Safrol,-5.455
Beta-ionone,-5.242
Estragol,-5.298
