Ligando,Afinidad
z-2-hexenol,-4.525
Benzothiazol,-5.414
eugenol-M.musculus-,-5.634
Menthone,-5.402
hexylacetate,-4.38
Α-terpineol,-5.22
DEET,-5.338
2-decanone,-4.855
Isobutylacetate,-3.803
2-pentanone,-3.545
1-octen-3-ol,-4.397
2-dodecanone,-5.225
Trans-anethol,-5.603
3-octanol,-4.431
Butanal,-3.036
3-nonanone,-4.613
methylbutyrate,-3.595
piperonylacetone,-5.955
2-sec-butyl-3-methoxypyrazine,-4.754
Pyrazine,-3.229
geranylacetate,-5.431
2-methylpyrazine,-3.778
butyricacid,-3.402
4-octanol,-4.285
2-heptanone,-4.017
ethylhexanoate,-4.297
methylnonanoate,-4.751
Menthol,-5.365
methyldecanoate,-4.741
isoamylacetate,-4.163
Pentanal,-3.325
methyloctanoate,-4.53
methylheptanoate,-4.483
E-2-hexenylacetate,-4.461
hexanoicacid,-4.217
2-octanol,-4.391
Thymol,-5.393
1-pentanol,-3.571
Limonene,-5.433
Eucalypton,-5.741
dimethyldisulﬁde,-2.103
Acetaldehyde,-2.282
Helional-phenobarbital-,-5.833
decanoicacid,-4.724
butylacetate,-3.65
3-methylbutanol,-3.611
2-nonanone,-4.787
Ethyl-vanillin,-5.04
1-hexanol,-3.887
1-heptanol,-4.568
Cinnamaldehyde,-5.439
Heptanal,-4.047
Vanillin,-4.965
1-dodecanol,-5.337
butylanthralite,-5.632
ethyloctanoate,-4.42
Nonanal,-4.312
heptanoicacid,-4.326
Citral,-4.768
3-hydroxybutan-2-one,-3.448
2-pentanol,-3.531
Cineol,-5.138
Acetophenone,-5.196
Allyl-ionoe,-5.966
isovalericacid,-3.843
ethylisobutyrate,-3.626
Cyclohexanone,-4.568
2-ethyl1-hexanol,-4.213
methylp-tert-butylphenylacetate,-5.587
1-nonanol,-4.602
Dodecanal,-4.77
ethylanthralite,-5.371
Trans-cinnamicacid,-5.688
Diacetyl-C.elegans-,-3.387
dodecanoicacid,-5.307
ethylnonanoate,-4.87
ethylpropionate,-3.52
-Citronellal,-4.813
Hedione,-5.2
octanoicacid,-4.728
ethyl-trans-2-butenoate,-3.872
Picaridin,-5.601
Thiazole,-2.835
Hexanal,-3.873
1-octanol,-4.394
pentylacetate,-4.042
Gvaiacol,-4.766
2-nonanlol,-4.658
Citralva,-4.579
propylacetate,-3.497
6-methyl-5-hepten-2-one,-4.513
+Citronellal,-5.174
2-isobutyl-3-methoxypyrazine,-4.965
Linalool,-5.201
Cumarin,-6.374
2-isobutyl3-methoxypyrazine,-4.78
nonanoicacid,-4.504
ethyldecanoate,-5.048
Alpha-thujone,-5.063
isobutyricacid,-3.72
Anisol,-4.697
ethylchrysanthemate,-4.848
butylbutyrate,-4.027
"methylN,N,-dimethylanthranilite",-4.649
diethylsuccinate,-4.27
Quinolin,-6.098
Octanal,-4.26
Phenylmethanol,-4.899
Geraniol,-5.092
3-octanone,-4.206
ethylheptanoate,-4.584
ethylbutyrate,-3.834
methylsalicylate,-5.177
Decanal,-4.492
Lyral,-6.168
propionicacid,-3.342
3-methyl-2-buten-1-ol,-3.763
Gamma-decalactone,-5.429
1-decanol,-4.59
Para-anisaldehyde,-4.84
Camphor,-4.915
Indole,-5.532
ethyl-3-hydroxybutyrate,-4.126
2-octanone,-4.194
Beta-thujone,-5.445
Γ-hexalactone,-4.362
Benzaldehyde,-4.961
Maltol,-4.606
Undecanal,-5.051
1-butanol,-3.18
Pyridine,-3.896
methylhexanoate,-4.117
Safrol,-5.512
Beta-ionone,-5.887
Estragol,-5.443
