,Ligando,Afinidad,Tipo
0,Heptanal,-3.915,ALDEHYDES
1,methylhexanoate,-4.583,ESTERS
2,2-nonanlol,-3.967,ALCOHOLS
3,hexylacetate,-3.813,INSECT ODORS
4,E-2-hexenylacetate,-4.333,INSECT ODORS
5,Thiazole,-2.752,SULPHOREOUS
6,butylanthralite,-4.956,Repellents
7,2-isobutyl3-methoxypyrazine,-4.204,Repellents
8,Cinnamaldehyde,-5.35,ALDEHYDES
9,Geraniol,-4.846,ALCOHOLS
10,Ethyl-vanillin,-4.716,ALDEHYDES
11,Beta-ionone,-5.242,KETONES
12,hexanoicacid,-4.14,ACIDS
13,3-hydroxybutan-2-one,-3.825,KETONES
14,1-dodecanol,-4.4,ALCOHOLS
15,Phenylmethanol,-4.469,ALCOHOLS
16,Quinolin,-5.457,OTHERS
17,Butanal,-3.023,INSECT ODORS
18,methylheptanoate,-5.058,ESTERS
19,isoamylacetate,-3.787,ESTERS
20,Cineol,-5.297,OTHERS
21,Cyclohexanone,-4.264,KETONES
22,butylbutyrate,-4.922,ESTERS
23,butyricacid,-4.27,ACIDS
24,Cumarin,-5.588,LACTONES
25,Estragol,-5.298,OTHERS
26,1-nonanol,-5.482,ALCOHOLS
27,Vanillin,-4.468,ALDEHYDES
28,Diacetyl-C.elegans-,-3.527,Odorants speciﬁc to organisms
29,ethyl-3-hydroxybutyrate,-3.543,INSECT ODORS
30,Benzaldehyde,-5.318,ALDEHYDES
31,Acetaldehyde,-2.34,INSECT ODORS
32,propionicacid,-3.639,ACIDS
33,Menthone,-5.008,KETONES
34,isobutyricacid,-4.259,ACIDS
35,4-octanol,-4.757,ALCOHOLS
36,ethyldecanoate,-4.574,ESTERS
37,heptanoicacid,-4.911,ACIDS
38,DEET,-5.286,Repellents
39,ethylpropionate,-3.878,INSECT ODORS
40,Octanal,-4.183,ALDEHYDES
41,Hexanal,-4.246,ALDEHYDES
42,octanoicacid,-4.233,ACIDS
43,Maltol,-4.359,ALCOHOLS
44,methylbutyrate,-4.102,INSECT ODORS
45,Citralva,-4.731,OTHERS
46,Eucalypton,-5.606,Repellents
