,Ligando,Afinidad,Tipo
0,Heptanal,-4.146,ALDEHYDES
1,methylhexanoate,-4.372,ESTERS
2,2-nonanlol,-4.348,ALCOHOLS
3,hexylacetate,-4.619,INSECT ODORS
4,E-2-hexenylacetate,-5.028,INSECT ODORS
5,Thiazole,-2.687,SULPHOREOUS
6,butylanthralite,-6.201,Repellents
7,2-isobutyl3-methoxypyrazine,-5.111,Repellents
8,Cinnamaldehyde,-5.454,ALDEHYDES
9,Geraniol,-4.574,ALCOHOLS
10,Ethyl-vanillin,-5.393,ALDEHYDES
11,Beta-ionone,-5.121,KETONES
12,hexanoicacid,-4.352,ACIDS
13,3-hydroxybutan-2-one,-3.502,KETONES
14,1-dodecanol,-5.036,ALCOHOLS
15,Phenylmethanol,-5.393,ALCOHOLS
16,Quinolin,-6.176,OTHERS
17,Butanal,-3.329,INSECT ODORS
18,methylheptanoate,-4.019,ESTERS
19,isoamylacetate,-4.257,ESTERS
20,Cineol,-5.088,OTHERS
21,Cyclohexanone,-4.071,KETONES
22,butylbutyrate,-4.64,ESTERS
23,butyricacid,-3.678,ACIDS
24,Cumarin,-6.955,LACTONES
25,Estragol,-5.444,OTHERS
26,1-nonanol,-4.614,ALCOHOLS
27,Vanillin,-4.38,ALDEHYDES
28,Diacetyl-C.elegans-,-3.4,Odorants speciﬁc to organisms
29,ethyl-3-hydroxybutyrate,-4.37,INSECT ODORS
30,Benzaldehyde,-5.206,ALDEHYDES
31,Acetaldehyde,-2.389,INSECT ODORS
32,propionicacid,-3.453,ACIDS
33,Menthone,-5.27,KETONES
34,isobutyricacid,-3.639,ACIDS
35,4-octanol,-4.809,ALCOHOLS
36,ethyldecanoate,-4.027,ESTERS
37,heptanoicacid,-4.617,ACIDS
38,DEET,-4.996,Repellents
39,ethylpropionate,-3.862,INSECT ODORS
40,Octanal,-4.414,ALDEHYDES
41,Hexanal,-3.971,ALDEHYDES
42,octanoicacid,-4.865,ACIDS
43,Maltol,-3.954,ALCOHOLS
44,methylbutyrate,-3.859,INSECT ODORS
45,Citralva,-4.162,OTHERS
46,Eucalypton,-5.219,Repellents
47,Linalool,-4.182,INSECT ODORS
48,Lyral,-5.364,ALDEHYDES
49,diethylsuccinate,-4.264,INSECT ODORS
50,ethylanthralite,-4.448,Repellents
51,Menthol,-5.755,ALCOHOLS
52,ethylisobutyrate,-3.876,ESTERS
53,Trans-cinnamicacid,-6.136,ACIDS
54,1-octen-3-ol,-4.581,INSECT ODORS
55,Α-terpineol,-5.689,INSECT ODORS
56,Anisol,-4.938,OTHERS
57,Dodecanal,-4.892,ALDEHYDES
58,dodecanoicacid,-5.401,ACIDS
59,Isobutylacetate,-3.767,INSECT ODORS
60,Safrol,-5.806,OTHERS
61,ethylbutyrate,-3.476,ESTERS
62,Pentanal,-3.615,INSECT ODORS
63,Pyridine,-4.053,OTHERS
64,geranylacetate,-5.565,ESTERS
65,6-methyl-5-hepten-2-one,-4.682,KETONES
66,Trans-anethol,-5.474,OTHERS
67,Gvaiacol,-4.953,ALCOHOLS
68,methylsalicylate,-5.373,ESTERS
