,Ligando,Afinidad,Tipo
0,Heptanal,-4.181,ALDEHYDES
1,methylhexanoate,-3.921,ESTERS
2,2-nonanlol,-3.959,ALCOHOLS
3,hexylacetate,-4.225,INSECT ODORS
4,E-2-hexenylacetate,-4.035,INSECT ODORS
5,Thiazole,-2.786,SULPHOREOUS
6,butylanthralite,-4.975,Repellents
7,2-isobutyl3-methoxypyrazine,-4.502,Repellents
8,Cinnamaldehyde,-5.357,ALDEHYDES
9,Geraniol,-4.963,ALCOHOLS
10,Ethyl-vanillin,-4.728,ALDEHYDES
11,Beta-ionone,-5.456,KETONES
12,hexanoicacid,-4.037,ACIDS
13,3-hydroxybutan-2-one,-3.112,KETONES
14,1-dodecanol,-4.507,ALCOHOLS
15,Phenylmethanol,-4.488,ALCOHOLS
16,Quinolin,-5.458,OTHERS
17,Butanal,-3.643,INSECT ODORS
18,methylheptanoate,-4.166,ESTERS
19,isoamylacetate,-3.845,ESTERS
20,Cineol,-5.271,OTHERS
21,Cyclohexanone,-4.098,KETONES
22,butylbutyrate,-4.876,ESTERS
23,butyricacid,-3.295,ACIDS
24,Cumarin,-5.63,LACTONES
25,Estragol,-5.289,OTHERS
26,1-nonanol,-4.254,ALCOHOLS
27,Vanillin,-4.577,ALDEHYDES
28,Diacetyl-C.elegans-,-3.114,Odorants speciﬁc to organisms
29,ethyl-3-hydroxybutyrate,-4.154,INSECT ODORS
30,Benzaldehyde,-4.526,ALDEHYDES
31,Acetaldehyde,-2.321,INSECT ODORS
32,propionicacid,-3.709,ACIDS
33,Menthone,-4.971,KETONES
34,isobutyricacid,-4.248,ACIDS
35,4-octanol,-4.205,ALCOHOLS
36,ethyldecanoate,-4.472,ESTERS
37,heptanoicacid,-4.203,ACIDS
38,DEET,-4.867,Repellents
39,ethylpropionate,-3.476,INSECT ODORS
40,Octanal,-4.76,ALDEHYDES
41,Hexanal,-4.277,ALDEHYDES
42,octanoicacid,-4.427,ACIDS
43,Maltol,-4.356,ALCOHOLS
44,methylbutyrate,-3.398,INSECT ODORS
45,Citralva,-4.831,OTHERS
46,Eucalypton,-5.928,Repellents
47,Linalool,-4.77,INSECT ODORS
48,Lyral,-5.704,ALDEHYDES
49,diethylsuccinate,-3.786,INSECT ODORS
50,ethylanthralite,-5.051,Repellents
51,Menthol,-4.829,ALCOHOLS
52,ethylisobutyrate,-3.988,ESTERS
53,Trans-cinnamicacid,-5.47,ACIDS
54,1-octen-3-ol,-4.781,INSECT ODORS
55,Α-terpineol,-5.719,INSECT ODORS
56,Anisol,-4.763,OTHERS
57,Dodecanal,-5.676,ALDEHYDES
58,dodecanoicacid,-4.964,ACIDS
59,Isobutylacetate,-4.182,INSECT ODORS
60,Safrol,-5.46,OTHERS
61,ethylbutyrate,-4.31,ESTERS
62,Pentanal,-3.383,INSECT ODORS
63,Pyridine,-4.119,OTHERS
64,geranylacetate,-4.988,ESTERS
65,6-methyl-5-hepten-2-one,-5.136,KETONES
66,Trans-anethol,-5.22,OTHERS
67,Gvaiacol,-4.404,ALCOHOLS
68,methylsalicylate,-4.942,ESTERS
69,3-octanone,-4.751,KETONES
70,propylacetate,-3.767,INSECT ODORS
71,Limonene,-5.387,OTHERS
72,2-nonanone,-3.994,KETONES
73,butylacetate,-3.541,INSECT ODORS
74,Benzothiazol,-4.415,SULPHOREOUS
75,ethyloctanoate,-5.786,ESTERS
76,decanoicacid,-4.166,ACIDS
77,1-heptanol,-4.845,ALCOHOLS
78,pentylacetate,-4.401,INSECT ODORS
79,2-dodecanone,-4.589,KETONES
80,2-pentanone,-3.839,INSECT ODORS
81,eugenol-M.musculus-,-5.354,Odorants speciﬁc to organisms
82,3-methylbutanol,-4.378,INSECT ODORS
83,Acetophenone,-4.955,KETONES
84,ethylnonanoate,-5.452,ESTERS
85,2-ethyl1-hexanol,-3.929,ALCOHOLS
86,Undecanal,-4.349,ALDEHYDES
87,3-nonanone,-5.11,KETONES
88,Hedione,-5.243,KETONES
89,Citral,-5.118,ALDEHYDES
90,-Citronellal,-5.628,ALDEHYDES
91,Gamma-decalactone,-4.831,LACTONES
92,Γ-hexalactone,-4.283,INSECT ODORS
93,Para-anisaldehyde,-4.362,ALDEHYDES
94,Beta-thujone,-5.117,Repellents
95,dimethyldisulﬁde,-1.935,SULPHOREOUS
96,ethylhexanoate,-3.935,ESTERS
97,z-2-hexenol,-4.216,INSECT ODORS
98,isovalericacid,-3.702,ACIDS
99,2-isobutyl-3-methoxypyrazine,-4.508,ACIDS
100,methyloctanoate,-4.224,ESTERS
101,2-sec-butyl-3-methoxypyrazine,-4.279,Repellents
102,methyldecanoate,-5.279,ESTERS
103,2-decanone,-4.474,KETONES
104,2-methylpyrazine,-3.437,ACIDS
105,3-octanol,-4.144,ALCOHOLS
106,1-pentanol,-4.313,INSECT ODORS
107,ethylchrysanthemate,-4.747,Repellents
108,1-hexanol,-3.828,ALCOHOLS
109,+Citronellal,-4.716,ALDEHYDES
110,"methylN,N,-dimethylanthranilite",-4.661,Repellents
111,Indole,-4.938,OTHERS
112,Pyrazine,-3.258,ACIDS
113,ethylheptanoate,-4.391,ESTERS
114,2-heptanone,-4.024,KETONES
115,1-butanol,-3.907,INSECT ODORS
116,1-decanol,-4.048,ALCOHOLS
117,Alpha-thujone,-5.201,Repellents
118,ethyl-trans-2-butenoate,-3.882,INSECT ODORS
119,2-pentanol,-4.317,INSECT ODORS
