,Ligando,Afinidad,Tipo
0,Heptanal,-4.113,ALDEHYDES
1,methylhexanoate,-4.096,ESTERS
2,2-nonanlol,-4.213,ALCOHOLS
3,hexylacetate,-3.691,INSECT ODORS
4,E-2-hexenylacetate,-4.814,INSECT ODORS
5,Thiazole,-2.683,SULPHOREOUS
6,butylanthralite,-4.58,Repellents
7,2-isobutyl3-methoxypyrazine,-4.102,Repellents
8,Cinnamaldehyde,-5.953,ALDEHYDES
9,Geraniol,-4.38,ALCOHOLS
10,Ethyl-vanillin,-4.541,ALDEHYDES
11,Beta-ionone,-5.187,KETONES
12,hexanoicacid,-4.536,ACIDS
13,3-hydroxybutan-2-one,-3.487,KETONES
14,1-dodecanol,-3.846,ALCOHOLS
15,Phenylmethanol,-5.34,ALCOHOLS
16,Quinolin,-4.933,OTHERS
17,Butanal,-3.297,INSECT ODORS
18,methylheptanoate,-4.452,ESTERS
19,isoamylacetate,-4.351,ESTERS
20,Cineol,-5.52,OTHERS
21,Cyclohexanone,-4.404,KETONES
22,butylbutyrate,-4.562,ESTERS
23,butyricacid,-3.712,ACIDS
24,Cumarin,-6.926,LACTONES
25,Estragol,-5.43,OTHERS
26,1-nonanol,-4.869,ALCOHOLS
27,Vanillin,-5.125,ALDEHYDES
28,Diacetyl-C.elegans-,-3.283,Odorants speciﬁc to organisms
29,ethyl-3-hydroxybutyrate,-3.763,INSECT ODORS
30,Benzaldehyde,-4.605,ALDEHYDES
31,Acetaldehyde,-2.353,INSECT ODORS
32,propionicacid,-3.456,ACIDS
33,Menthone,-4.423,KETONES
34,isobutyricacid,-3.644,ACIDS
35,4-octanol,-4.615,ALCOHOLS
36,ethyldecanoate,-5.048,ESTERS
37,heptanoicacid,-4.696,ACIDS
38,DEET,-4.684,Repellents
39,ethylpropionate,-3.554,INSECT ODORS
40,Octanal,-4.267,ALDEHYDES
41,Hexanal,-3.915,ALDEHYDES
42,octanoicacid,-5.092,ACIDS
43,Maltol,-4.432,ALCOHOLS
44,methylbutyrate,-3.404,INSECT ODORS
45,Citralva,-5.05,OTHERS
46,Eucalypton,-5.556,Repellents
47,Linalool,-4.963,INSECT ODORS
48,Lyral,-5.64,ALDEHYDES
49,diethylsuccinate,-4.288,INSECT ODORS
50,ethylanthralite,-4.871,Repellents
51,Menthol,-4.869,ALCOHOLS
52,ethylisobutyrate,-3.917,ESTERS
53,Trans-cinnamicacid,-6.111,ACIDS
54,1-octen-3-ol,-4.705,INSECT ODORS
55,Α-terpineol,-5.585,INSECT ODORS
56,Anisol,-4.907,OTHERS
57,Dodecanal,-4.985,ALDEHYDES
58,dodecanoicacid,-5.57,ACIDS
59,Isobutylacetate,-3.266,INSECT ODORS
60,Safrol,-6.001,OTHERS
61,ethylbutyrate,-4.17,ESTERS
62,Pentanal,-3.704,INSECT ODORS
63,Pyridine,-4.044,OTHERS
64,geranylacetate,-4.966,ESTERS
65,6-methyl-5-hepten-2-one,-4.725,KETONES
66,Trans-anethol,-5.471,OTHERS
67,Gvaiacol,-4.951,ALCOHOLS
68,methylsalicylate,-5.58,ESTERS
69,3-octanone,-4.51,KETONES
70,propylacetate,-3.583,INSECT ODORS
71,Limonene,-5.54,OTHERS
72,2-nonanone,-4.199,KETONES
73,butylacetate,-3.358,INSECT ODORS
74,Benzothiazol,-4.406,SULPHOREOUS
75,ethyloctanoate,-4.795,ESTERS
76,decanoicacid,-5.349,ACIDS
77,1-heptanol,-3.894,ALCOHOLS
78,pentylacetate,-4.208,INSECT ODORS
79,2-dodecanone,-5.335,KETONES
80,2-pentanone,-3.691,INSECT ODORS
81,eugenol-M.musculus-,-5.265,Odorants speciﬁc to organisms
82,3-methylbutanol,-3.71,INSECT ODORS
83,Acetophenone,-5.676,KETONES
84,ethylnonanoate,-4.214,ESTERS
85,2-ethyl1-hexanol,-3.713,ALCOHOLS
86,Undecanal,-4.681,ALDEHYDES
87,3-nonanone,-4.701,KETONES
88,Hedione,-4.449,KETONES
89,Citral,-5.577,ALDEHYDES
90,-Citronellal,-5.286,ALDEHYDES
91,Gamma-decalactone,-4.934,LACTONES
92,Γ-hexalactone,-4.489,INSECT ODORS
93,Para-anisaldehyde,-3.987,ALDEHYDES
94,Beta-thujone,-5.29,Repellents
95,dimethyldisulﬁde,-1.989,SULPHOREOUS
96,ethylhexanoate,-4.262,ESTERS
97,z-2-hexenol,-4.778,INSECT ODORS
98,isovalericacid,-4.178,ACIDS
99,2-isobutyl-3-methoxypyrazine,-4.055,ACIDS
100,methyloctanoate,-3.988,ESTERS
101,2-sec-butyl-3-methoxypyrazine,-3.773,Repellents
102,methyldecanoate,-4.693,ESTERS
103,2-decanone,-4.239,KETONES
104,2-methylpyrazine,-3.63,ACIDS
105,3-octanol,-4.521,ALCOHOLS
106,1-pentanol,-3.841,INSECT ODORS
107,ethylchrysanthemate,-4.389,Repellents
108,1-hexanol,-4.254,ALCOHOLS
109,+Citronellal,-5.082,ALDEHYDES
110,"methylN,N,-dimethylanthranilite",-4.608,Repellents
111,Indole,-4.703,OTHERS
112,Pyrazine,-3.123,ACIDS
113,ethylheptanoate,-4.303,ESTERS
114,2-heptanone,-4.433,KETONES
115,1-butanol,-3.317,INSECT ODORS
116,1-decanol,-4.91,ALCOHOLS
117,Alpha-thujone,-4.401,Repellents
118,ethyl-trans-2-butenoate,-3.342,INSECT ODORS
119,2-pentanol,-3.591,INSECT ODORS
120,Picaridin,-4.413,Repellents
121,Decanal,-4.759,ALDEHYDES
122,Allyl-ionoe,-5.016,Repellents
123,2-octanol,-4.633,ALCOHOLS
