id;cid;inchi_key;smiles;synonyms_ids;mixture
1;439250;XMGQYMWWDOXHJM-SNVBAGLBSA-N;CC1=CC[C@H](CC1)C(=C)C;"[5675, 559, 67, 4333, 3130, 7022, 2809, 519, 3748, 6159]";mono
2;16724;ULDHMXUKGWMISQ-VIFPVBQESA-N;CC1=CC[C@@H](CC1=O)C(=C)C;"[2766, 33, 151, 3654, 191, 4167, 4245, 462, 286, 1791, 2595]";mono
3;165675;NOOLISFMXDJSKH-AEJSXWLSSA-N;C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C;"[6532, 3880, 4174, 581, 987, 5700, 7312, 1944, 4189, 532, 6481, 796, 532]";mono
4;10686;FYGHSUNMUKGBRK-UHFFFAOYSA-N;CC1=C(C(=CC=C1)C)C;"[3495, 5651, 6071, 5160, 5699, 2560, 762, 6031, 5069, 2930]";mono
5;263;LRHPLDYGYMQRHN-UHFFFAOYSA-N;CCCCO;"[450, 2981, 5188, 3369, 3771, 1275, 4639, 2435, 3115, 6628]";mono
6;21210;RWNUSVWFHDHRCJ-UHFFFAOYSA-N;CCCCOCC(C)O;"[6729, 615, 1740, 5937, 4375, 198, 600, 1566, 6931, 1121]";"sum of isomers"
7;8193;LQZZUXJYWNFBMV-UHFFFAOYSA-N;CCCCCCCCCCCCO;"[5194, 5250, 3404, 6429, 6523, 189, 4175, 6226, 5930, 3564]";mono
8;957;KBPLFHHGFOOTCA-UHFFFAOYSA-N;CCCCCCCCO;"[5584, 2623, 629, 3301, 6076, 2462, 3710, 1576, 3312, 6380]";mono
9;1031;BDERNNFJNOPAEC-UHFFFAOYSA-N;CCCO;"[2612, 6175, 2159, 3183, 5046, 4575, 727, 1033, 563, 95]";mono
10;60983;FJPGAMCQJNLTJC-UHFFFAOYSA-N;CCCCC(=O)C(=O)C;"[5812, 7211, 5303, 320, 2702, 1462, 5924, 7191, 4486, 1686]";mono
11;31252;LCZUOKDVTBMCMX-UHFFFAOYSA-N;CC1=CN=C(C=N1)C;"[4136, 3759, 4568, 7257, 6369, 738, 4787, 1146, 1001, 3528]";mono
12;8723;QPRQEDXDYOZYLA-UHFFFAOYSA-N;CCC(C)CO;"[3108, 4884, 3817, 6114, 3458, 6371, 4278, 1440, 6218, 2359]";"sum of isomers"
13;11509;PFCHFHIRKBAQGU-UHFFFAOYSA-N;CCCC(=O)CC;"[5636, 1627, 1979, 5992, 539, 1634, 2416, 899, 622, 6415]";mono
14;11428;AQIXEPGDORPWBJ-UHFFFAOYSA-N;CCC(CC)O;"[4643, 158, 5380, 3761, 6051, 4123, 5949, 2967, 5213, 2597]";mono
15;6654;GRWFGVWFFZKLTI-UHFFFAOYSA-N;CC1=CCC2CC1C2(C)C;"[2240, 3173, 2862, 830, 6663, 496, 1910, 3420, 2217, 6576, 5629, 6344, 3437]";"sum of isomers"
16;27457;LNIMMWYNSBZESE-UHFFFAOYSA-N;CCC1=NC=CN=C1C;"[3187, 5816, 3499, 4425, 2223, 900, 5134, 440, 1442, 3527]";mono
17;14896;WTARULDDTDQWMU-UHFFFAOYSA-N;CC1(C2CCC(=C)C1C2)C;"[2029, 4248, 896, 6133, 6494, 3986, 1557, 688, 5886, 3846]";"sum of isomers"
18;176;QTBSBXVTEAMEQO-UHFFFAOYSA-N;CC(=O)O;"[1807, 2058, 4762, 1246, 1762, 1130, 4650, 3386, 1556, 4371, 1807]";mono
19;264;FERIUCNNQQJTOY-UHFFFAOYSA-N;CCCC(=O)O;"[4405, 1235, 7049, 5730, 3334, 3223, 1150, 114, 4704, 1389, 1235]";mono
20;323;ZYGHJZDHTFUPRJ-UHFFFAOYSA-N;C1=CC=C2C(=C1)C=CC(=O)O2;"[6339, 4885, 1919, 4416, 7081, 5913, 3847, 6703, 1449, 4332, 3847]";mono
21;3893;POULHZVOKOAJMA-UHFFFAOYSA-N;CCCCCCCCCCCC(=O)O;"[5347, 6674, 2811, 1140, 4919, 1405, 263, 1931, 6988, 1377]";mono
22;8048;RGXWDWUGBIJHDO-UHFFFAOYSA-N;CCCCCCCCCC(=O)OCC;"[6184, 1495, 2787, 2123, 1724, 6528, 7031, 2126, 7154, 2919]";mono
23;7800;MMXKVMNBHPAILY-UHFFFAOYSA-N;CCCCCCCCCCCC(=O)OCC;"[3876, 1334, 6665, 1906, 863, 6317, 607, 7028, 7269, 5182]";mono
24;12366;XIRNKXNNONJFQO-UHFFFAOYSA-N;CCCCCCCCCCCCCCCC(=O)OCC;"[129, 6048, 4099, 3574, 2037, 2821, 2208, 972, 2843, 4409]";mono
25;8122;MVLVMROFTAUDAG-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCC(=O)OCC;"[5262, 2978, 5260, 614, 2870, 4616, 1594, 1178, 3136, 7307]";mono
26;7799;YYZUSRORWSJGET-UHFFFAOYSA-N;CCCCCCCC(=O)OCC;"[6527, 6835, 2394, 7152, 5693, 2283, 4691, 2746, 6574, 4421]";mono
27;31283;MMKRHZKQPFCLLS-UHFFFAOYSA-N;CCCCCCCCCCCCCC(=O)OCC;"[6839, 2786, 6059, 1515, 4678, 3658, 4481, 1555, 6720, 2287]";mono
28;3314;RRAFCDWBNXTKKO-UHFFFAOYSA-N;COC1=C(C=CC(=C1)CC=C)O;"[2553, 3122, 832, 2880, 6719, 6611, 2124, 4312, 6070, 7215]";mono
29;445070;CRDAMVZIKSXKFV-YFVJMOTDSA-N;CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C;"[5795, 1362, 5253, 2353, 1189, 4709, 5859, 2693, 1268, 4158, 1189]";mono
30;637566;GLZPCOQZEFWAFX-JXMROGBWSA-N;CC(=CCC/C(=C/CO)/C)C;"[4307, 2304, 3474, 5654, 6618, 1692, 3484, 5685, 6803, 4597, 6803]";mono
31;8094;MNWFXJYAOYHMED-UHFFFAOYSA-N;CCCCCCC(=O)O;"[3254, 3818, 4079, 5928, 4955, 730, 3374, 2605, 3677, 5803]";mono
32;7938;HJFZAYHYIWGLNL-UHFFFAOYSA-N;CC1=CN=CC(=N1)C;"[6938, 2252, 6947, 4520, 6904, 7150, 6816, 6692, 3631, 2858]";mono
33;8892;FUZZWVXGSFPDMH-UHFFFAOYSA-N;CCCCCC(=O)O;"[587, 3697, 3534, 6130, 647, 5028, 5054, 6584, 5114, 5079]";mono
34;10430;GWYFCOCPABKNJV-UHFFFAOYSA-N;CC(C)CC(=O)O;"[1304, 5024, 5353, 3349, 4272, 1295, 2513, 664, 4684, 1092]";mono
35;612;JVTAAEKCZFNVCJ-UHFFFAOYSA-N;CC(C(=O)O)O;"[6908, 6676, 4805, 48, 410, 5204, 6467, 5345, 2906, 4364, 6676]";"sum of isomers"
36;228987;SDQFDHOLCGWZPU-UHFFFAOYSA-N;CC(CC1=CC=C(C=C1)C(C)(C)C)C=O;"[5650, 173, 4695, 4527, 3830, 194, 425, 3948, 5941, 5011]";"sum of isomers"
37;6549;CDOSHBSSFJOMGT-UHFFFAOYSA-N;CC(=CCCC(C)(C=C)O)C;"[5575, 4580, 2891, 5008, 1657, 5163, 589, 5310, 1059, 732]";"sum of isomers"
38;91604;ORMHZBNNECIKOH-UHFFFAOYSA-N;CC(C)(CCCC1=CCC(CC1)C=O)O;"[2178, 271, 784, 731, 4339, 885, 5562, 2366, 2525, 1597, 4339]";"sum of isomers"
39;896;DRLFMBDRBRZALE-UHFFFAOYSA-N;CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC;"[1436, 6619, 4533, 2328, 6247, 4876, 6018, 5582, 2440, 5500]";mono
40;8050;YRHYCMZPEVDGFQ-UHFFFAOYSA-N;CCCCCCCCCC(=O)OC;"[7153, 6322, 4211, 3601, 4711, 7218, 1506, 1688, 2912, 1444]";mono
41;8139;UQDUPQYQJKYHQI-UHFFFAOYSA-N;CCCCCCCCCCCC(=O)OC;"[3248, 5567, 772, 6967, 5137, 5801, 4058, 3237, 7142, 6416]";mono
42;8181;FLIACVVOZYBSBS-UHFFFAOYSA-N;CCCCCCCCCCCCCCCC(=O)OC;"[7193, 6614, 2065, 1213, 1420, 1820, 5014, 2357, 240, 3617]";mono
43;8201;HPEUJPJOZXNMSJ-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCC(=O)OC;"[2064, 944, 2200, 2254, 2732, 3196, 3788, 4768, 4369, 4753]";mono
44;8091;JGHZJRVDZXSNKQ-UHFFFAOYSA-N;CCCCCCCC(=O)OC;"[6434, 6813, 1198, 5954, 4064, 3270, 1797, 6547, 1322, 6600]";mono
45;31284;ZAZKJZBWRNNLDS-UHFFFAOYSA-N;CCCCCCCCCCCCCC(=O)OC;"[1917, 1834, 1203, 1668, 1286, 6084, 411, 1892, 2011, 1505]";mono
46;7929;IVSZLXZYQVIEFR-UHFFFAOYSA-N;CC1=CC(=CC=C1)C;"[783, 1877, 705, 3087, 4434, 5707, 3405, 912, 7222, 6907]";mono
47;31289;GYHFUZHODSMOHU-UHFFFAOYSA-N;CCCCCCCCC=O;"[6254, 3721, 7196, 5301, 7168, 3585, 5856, 289, 6585, 4029]";mono
48;10947;ALHUZKCOMYUFRB-UHFFFAOYSA-N;CC1CCCCCCCCCCCCC(=O)C1;"[2646, 2390, 3539, 6213, 6107, 770, 302, 7242, 6391, 4141]";"sum of isomers"
49;5281;QIQXTHQIDYTFRH-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCC(=O)O;"[4343, 55, 1231, 6057, 3258, 4124, 1755, 3634, 2207, 308]";mono
50;454;NUJGJRNETVAIRJ-UHFFFAOYSA-N;CCCCCCCC=O;"[5184, 1012, 2379, 6115, 1350, 2849, 4242, 37, 1810, 2908]";mono
51;379;WWZKQHOCKIZLMA-UHFFFAOYSA-N;CCCCCCCC(=O)O;"[1102, 908, 2451, 5797, 4714, 5642, 4920, 4909, 336, 3268, 1102]";mono
52;985;IPCSVZSSVZVIGE-UHFFFAOYSA-N;CCCCCCCCCCCCCCCC(=O)O;"[6471, 6458, 5286, 5110, 3425, 3783, 1135, 7078, 5290, 6274]";mono
53;31244;ZRSNZINYAWTAHE-UHFFFAOYSA-N;COC1=CC=C(C=C1)C=O;"[1658, 7227, 766, 3904, 1361, 3238, 1359, 2212, 5060, 986]";mono
